label,rcp,ADM0_NAME,ADM1_NAME,WWF_MHTNAM,Freq
Suitable4coffee/Neversuitable4cocoa,rcp85,Guatemala,Chimaltenango,Tropical and Subtropical Coniferous Forests,50
Suitable4coffee/Suitable4cocoa,rcp85,Guatemala,Chimaltenango,Tropical and Subtropical Coniferous Forests,5
Nolongersuitable4coffee/Neversuitable4cocoa,rcp45,Nicaragua,Chinandega,Tropical and Subtropical Coniferous Forests,7
Suitable4coffee/Neversuitable4cocoa,rcp45,Nicaragua,Chinandega,Tropical and Subtropical Coniferous Forests,1
Nolongersuitable4coffee/Neversuitable4cocoa,rcp85,Nicaragua,Chinandega,Tropical and Subtropical Coniferous Forests,7
Suitable4coffee/Neversuitable4cocoa,rcp85,Nicaragua,Chinandega,Tropical and Subtropical Coniferous Forests,1
Nolongersuitable4coffee/Neversuitable4cocoa,rcp45,Guatemala,Chiquimula,Tropical and Subtropical Coniferous Forests,44
Nolongersuitable4coffee/Suitable4cocoa,rcp45,Guatemala,Chiquimula,Tropical and Subtropical Coniferous Forests,1
Suitable4coffee/Neversuitable4cocoa,rcp45,Guatemala,Chiquimula,Tropical and Subtropical Coniferous Forests,22
Suitable4coffee/Suitable4cocoa,rcp45,Guatemala,Chiquimula,Tropical and Subtropical Coniferous Forests,2
Nolongersuitable4coffee/Neversuitable4cocoa,rcp85,Guatemala,Chiquimula,Tropical and Subtropical Coniferous Forests,50
Suitable4coffee/Neversuitable4cocoa,rcp85,Guatemala,Chiquimula,Tropical and Subtropical Coniferous Forests,18
Suitable4coffee/Suitable4cocoa,rcp85,Guatemala,Chiquimula,Tropical and Subtropical Coniferous Forests,1
Nolongersuitable4coffee/Neversuitable4cocoa,rcp45,Honduras,Choluteca,Tropical and Subtropical Coniferous Forests,19
Suitable4coffee/Neversuitable4cocoa,rcp45,Honduras,Choluteca,Tropical and Subtropical Coniferous Forests,30
