X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
79.0,79.0,train,0.003886262490785504,67.9646095688348,0.9547239133627924
80.0,80.0,train,0.0040899822244595836,69.9489237307503,0.9615045954607109
81.0,81.0,train,0.0014839880887107919,38.828698927039106,0.6932835666275886
82.0,82.0,train,0.007660148676194093,96.47666939117435,0.9977581577277295
83.0,83.0,train,0.0021964384689369567,50.29696836675004,0.8260903202002908
84.0,84.0,train,1.913068980408496E-4,16.088839983563968,0.14131633836677482
85.0,85.0,train,0.008880157470539678,99.10183476943887,0.9991515155150648
86.0,86.0,train,9.851238776308001E-4,31.7314104888433,0.5436712162495907
87.0,87.0,train,3.513379450723785E-4,21.445150366988756,0.24406632368856873
88.0,88.0,train,0.0018813514862154905,46.151543331861994,0.7764873849735137
89.0,89.0,train,0.004915245920425395,80.12583291477367,0.9800484261081638
90.0,90.0,train,0.005088083504656868,82.11928795279324,0.9826140553676932
91.0,91.0,train,0.00115642206397019,34.81083473782445,0.6018640244385762
92.0,92.0,train,0.005307819387376756,84.71995048287481,0.9854051768931343
93.0,93.0,train,0.0027136583526382913,57.22324112257912,0.8848048192849838
94.0,94.0,train,0.004702354533988925,79.14991528864597,0.9763620761006221
95.0,95.0,train,0.00227173526936016,50.970620891629665,0.8362123867362985
96.0,96.0,train,0.004229417273914787,71.62723504174355,0.9655505046988128
97.0,97.0,train,0.005440816577058724,86.33825395157473,0.9868719731407944
98.0,98.0,train,0.001806972306454047,45.77978576259884,0.7628476864284948
99.0,99.0,train,0.001311965070819891,36.60458697476145,0.6482499383125483
100.0,100.0,train,0.004383534172691326,74.6568278756168,0.9695295500129744
101.0,101.0,train,0.006546293023893819,93.65324189080033,0.9945568374755799
102.0,102.0,train,7.941517480037875E-4,27.65221633290418,0.4687133802248803
103.0,103.0,train,0.0023092905131341583,51.42931121087644,0.8410385104933735
104.0,104.0,train,0.0025140968188075083,54.5869936000459,0.8649619619742788
105.0,105.0,train,4.220391585909912E-5,5.3406920041545956,0.03305216458061966
106.0,106.0,train,5.676008021052372E-5,6.94089495817671,0.044196658982505244
107.0,107.0,train,0.004422410104651064,75.54036528124233,0.9704584720438835
108.0,108.0,train,0.0014153637413519926,38.11241562958622,0.6760544912347681
109.0,109.0,train,0.0042563796211444495,72.47632521512831,0.9662823367072808
110.0,110.0,train,3.805500535693278E-4,22.276187329635057,0.26144952776233266
111.0,111.0,train,0.002631373627283044,55.617922678781696,0.877003173469178
112.0,112.0,train,9.607850169641172E-4,31.166082471957086,0.5347398251354488
113.0,113.0,train,0.005980260660086737,89.21063304028762,0.9914567446408439
114.0,114.0,train,0.0026785915712989874,56.68101460456091,0.8815424452777108
115.0,115.0,train,0.0034803038969944077,63.89133524480065,0.9374428888092136
116.0,116.0,train,0.0024208431358038454,53.09570559816559,0.854551408801506
117.0,117.0,train,0.0016115087762374818,41.32594729420742,0.7229030092417279
118.0,118.0,train,0.005116066107275415,82.63075935303027,0.9829972164961263
119.0,119.0,train,0.0048443678977493085,79.63432944212565,0.9788898387178966
120.0,120.0,train,0.008981531621582878,100.0,0.99921732420799
121.0,121.0,train,1.8737979658516707E-4,15.91164473981346,0.1386266013547135
122.0,122.0,train,0.0026355640382819093,55.881300192309595,0.877412953941772
123.0,123.0,train,0.0010830657889098405,33.76816221958036,0.5779120449492763
124.0,124.0,train,0.0015658437927536441,40.0518417614104,0.712640318257773
125.0,125.0,train,0.006173974995962985,90.44087912213423,0.9926780976384376
126.0,126.0,train,0.00659165150071366,94.31236673725084,0.9947499518325911
127.0,127.0,train,0.004341582573150698,73.34462202872781,0.9684943419947537
128.0,128.0,train,2.782178400454014E-4,19.286518634738226,0.19873984513964893
129.0,129.0,train,0.0017975544759846588,45.419637309206614,0.7610622963984278
130.0,130.0,train,9.438954275224225E-4,30.793536540355372,0.5284394817867163
131.0,131.0,train,8.912556147485145E-4,29.64241762784631,0.5082506140975721
132.0,132.0,train,0.008694040967514235,98.21383570720394,0.9990159537336067
133.0,133.0,train,3.998872445089676E-4,22.657015854978074,0.2727360203185262
134.0,134.0,train,0.001689280890674646,42.82433279345571,0.7395448326485481
135.0,135.0,train,7.241803945408268E-4,26.826402018530718,0.4382673315648058
136.0,136.0,train,0.002214741230367389,50.51847266881776,0.8286068625823526
137.0,137.0,train,0.0015850091521273258,40.526747129791,0.7169930096290611
138.0,138.0,train,7.566258406330828E-4,27.302471611553063,0.4525961307727613
