Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.61149E-4,25.513797796,0.360387797,0.03180386,0.147435897,0
6.04451E-4,25.806550541,0.382068624,0.03131154,0.147435897,0
6.19698E-4,26.051598967,0.389526553,0.030917684,0.153846154,0
6.37633E-4,26.304353199,0.398184266,0.030523828,0.153846154,0
6.73154E-4,26.502902712,0.414970135,0.030228436,0.153846154,0
7.20176E-4,26.783002967,0.436472899,0.029834581,0.153846154,0
7.40375E-4,27.001916821,0.445465498,0.029539189,0.16025641,0
7.56626E-4,27.302474559,0.452596131,0.029145333,0.16025641,0
7.88711E-4,27.536835803,0.466406304,0.028849941,0.166666667,0
7.99989E-4,27.77600542,0.471177656,0.028554549,0.179487179,0
8.04079E-4,28.016582027,0.472897346,0.028259157,0.185897436,0
8.20254E-4,28.259949327,0.479643616,0.027963765,0.185897436,0
8.34677E-4,28.507843988,0.485586264,0.027668373,0.185897436,0
8.42002E-4,28.759746115,0.488578463,0.027372981,0.185897436,0
8.55978E-4,29.01432536,0.49423901,0.02707759,0.185897436,0
8.73229E-4,29.274342186,0.501139971,0.026782198,0.185897436,0
8.84723E-4,29.539296756,0.50568567,0.026486806,0.185897436,0
9.01754E-4,29.808140341,0.512344729,0.026191414,0.192307692,0
9.04891E-4,30.079388883,0.513561711,0.025896022,0.192307692,0
9.24897E-4,30.2626414,0.521250498,0.025699094,0.192307692,0
9.40303E-4,30.543084303,0.527088387,0.025403702,0.205128205,0
9.44361E-4,30.825994723,0.528614454,0.02510831,0.211538462,0
9.53166E-4,31.016293125,0.531908078,0.024911382,0.217948718,0
9.67867E-4,31.305313769,0.537356554,0.024615991,0.224358974,0
9.8323E-4,31.597941809,0.542982258,0.024320599,0.224358974,0
9.86027E-4,31.795056919,0.543999386,0.024123671,0.230769231,0
1.00943E-3,32.095062217,0.552418014,0.023828279,0.237179487,0
1.01449E-3,32.297516895,0.554219896,0.023631351,0.243589744,0
1.02305E-3,32.501729402,0.557247018,0.023434423,0.243589744,0
1.02827E-3,32.809399405,0.559086087,0.023139031,0.262820513,0
1.03949E-3,33.016815614,0.563008282,0.022942103,0.262820513,0
1.0474E-3,33.330317797,0.56575182,0.022646711,0.269230769,0
1.05235E-3,33.540294011,0.567458281,0.022449783,0.275641026,0
1.0827E-3,33.755851301,0.577790083,0.022252855,0.275641026,0
1.0924E-3,34.082312566,0.581038319,0.021957464,0.282051282,0
1.10467E-3,34.302342783,0.58511209,0.021760536,0.282051282,0
1.11262E-3,34.524624007,0.587730192,0.021563608,0.282051282,0
1.15269E-3,34.752371013,0.600678229,0.02136668,0.288461538,0
1.17497E-3,35.101392841,0.607700423,0.021071288,0.294871795,0
1.19963E-3,35.340898185,0.615331241,0.02087436,0.294871795,0
1.22613E-3,35.584937631,0.623364548,0.020677432,0.294871795,0
1.24973E-3,35.832962664,0.630375824,0.020480504,0.301282051,0
1.26737E-3,36.085614968,0.635531895,0.020283576,0.307692308,0
1.27773E-3,36.340740623,0.638529027,0.020086648,0.307692308,0
1.31187E-3,36.60279695,0.648224585,0.01988972,0.307692308,0
1.32588E-3,36.866581852,0.652127501,0.019692792,0.320512821,0
1.35024E-3,37.134871397,0.658810298,0.019495865,0.326923077,0
1.35344E-3,37.270215431,0.659678614,0.019397401,0.326923077,0
1.38405E-3,37.544292983,0.66787361,0.019200473,0.333333333,0
1.39277E-3,37.822130474,0.67017341,0.019003545,0.333333333,0
1.41408E-3,38.102828225,0.675722808,0.018806617,0.333333333,0
1.45248E-3,38.389612113,0.685488634,0.018609689,0.33974359,0
1.45318E-3,38.534930611,0.68566638,0.018511225,0.33974359,0
1.48399E-3,38.828717152,0.693283567,0.018314297,0.346153846,0
1.49789E-3,39.128136777,0.696661762,0.018117369,0.352564103,0
1.50524E-3,39.278661154,0.698431899,0.018018905,0.358974359,0
1.53295E-3,39.584747488,0.705012049,0.017821977,0.358974359,0
1.56444E-3,39.895192218,0.7123193,0.017625049,0.358974359,0
1.56584E-3,40.051776597,0.712640318,0.017526585,0.358974359,0
1.58427E-3,40.368427821,0.716825427,0.017329657,0.365384615,0
1.58501E-3,40.526928736,0.71699301,0.017231193,0.365384615,0
1.59237E-3,40.844743444,0.718648214,0.017034265,0.371794872,0
1.59762E-3,41.004505084,0.71982026,0.016935801,0.371794872,0
1.61151E-3,41.325975617,0.722903009,0.016738874,0.384615385,0
1.63068E-3,41.650984917,0.727102363,0.016541946,0.391025641,0
1.64217E-3,41.815201932,0.729587326,0.016443482,0.397435897,0
1.6777E-3,42.149988858,0.737132334,0.016246554,0.397435897,0
1.67847E-3,42.317836007,0.737293031,0.01614809,0.397435897,0
1.68409E-3,42.654290502,0.738465246,0.015951162,0.397435897,0
1.68928E-3,42.823218187,0.739543995,0.015852698,0.397435897,0
1.68955E-3,43.161101099,0.73960028,0.01565577,0.403846154,0
1.70132E-3,43.331233099,0.742030096,0.015557306,0.403846154,0
1.7025E-3,43.501482862,0.742271919,0.015458842,0.403846154,0
1.70722E-3,43.842790653,0.743240125,0.015261914,0.403846154,0
1.72118E-3,44.014908174,0.746077154,0.01516345,0.403846154,0
1.72955E-3,44.360559725,0.747765039,0.014966522,0.403846154,0
1.73339E-3,44.533899146,0.748536113,0.014868058,0.403846154,0
1.7628E-3,44.884196722,0.754355668,0.01467113,0.41025641,0
1.76365E-3,45.060561393,0.75452217,0.014572666,0.416666667,0
1.79755E-3,45.419155077,0.761062296,0.014375738,0.429487179,0
1.79922E-3,45.599077004,0.761378877,0.014277275,0.435897436,0
1.80697E-3,45.779774235,0.762847686,0.014178811,0.435897436,0
1.88135E-3,46.151523589,0.776487385,0.013981883,0.442307692,0
1.89562E-3,46.341086033,0.779013628,0.013883419,0.448717949,0
1.91801E-3,46.5328869,0.782918149,0.013784955,0.448717949,0
2.00472E-3,46.929118858,0.797402824,0.013588027,0.455128205,0
2.03887E-3,47.133006111,0.802839161,0.013489563,0.461538462,0
