crop,use,elev,rcp,freq
THEOCA,Fruit,400,RCP85,0.6666666666666666
THEOCA,Fruit,400,Current,0.8181818181818182
THEOCA,Fruit,500,RCP45,0.6666666666666666
THEOCA,Fruit,500,RCP85,0.6363636363636364
THEOCA,Fruit,500,Current,0.8181818181818182
THEOCA,Fruit,600,RCP45,0.696969696969697
THEOCA,Fruit,600,RCP85,0.6666666666666666
THEOCA,Fruit,600,Current,0.8181818181818182
THEOCA,Fruit,700,RCP45,0.696969696969697
THEOCA,Fruit,700,RCP85,0.6666666666666666
THEOCA,Fruit,700,Current,0.8181818181818182
THEOCA,Fruit,800,RCP45,0.696969696969697
THEOCA,Fruit,800,RCP85,0.6666666666666666
THEOCA,Fruit,800,Current,0.8181818181818182
THEOCA,Fruit,900,RCP45,0.696969696969697
THEOCA,Fruit,900,RCP85,0.6666666666666666
THEOCA,Fruit,900,Current,0.8181818181818182
THEOCA,Fruit,1000,RCP45,0.696969696969697
THEOCA,Fruit,1000,RCP85,0.6666666666666666
THEOCA,Fruit,1000,Current,0.8181818181818182
THEOCA,Fruit,1100,RCP45,0.7272727272727273
THEOCA,Fruit,1100,RCP85,0.696969696969697
THEOCA,Fruit,1100,Current,0.8484848484848485
THEOCA,Fruit,1200,RCP45,0.7878787878787878
THEOCA,Fruit,1200,RCP85,0.7272727272727273
THEOCA,Fruit,1200,Current,0.8484848484848485
THEOCA,N-fixing,0,RCP45,0.5
THEOCA,N-fixing,0,RCP85,0.5
THEOCA,N-fixing,0,Current,0.5666666666666667
THEOCA,N-fixing,100,RCP45,0.5333333333333333
THEOCA,N-fixing,100,RCP85,0.5333333333333333
THEOCA,N-fixing,100,Current,0.6333333333333333
THEOCA,N-fixing,200,RCP45,0.5
THEOCA,N-fixing,200,RCP85,0.4666666666666667
THEOCA,N-fixing,200,Current,0.6333333333333333
THEOCA,N-fixing,300,RCP45,0.5
THEOCA,N-fixing,300,RCP85,0.4666666666666667
THEOCA,N-fixing,300,Current,0.6666666666666666
THEOCA,N-fixing,400,RCP45,0.5333333333333333
THEOCA,N-fixing,400,RCP85,0.5
THEOCA,N-fixing,400,Current,0.7
THEOCA,N-fixing,500,RCP45,0.5333333333333333
THEOCA,N-fixing,500,RCP85,0.5
THEOCA,N-fixing,500,Current,0.7
THEOCA,N-fixing,600,RCP45,0.5666666666666667
THEOCA,N-fixing,600,RCP85,0.5333333333333333
THEOCA,N-fixing,600,Current,0.7
THEOCA,N-fixing,700,RCP45,0.6
THEOCA,N-fixing,700,RCP85,0.5666666666666667
THEOCA,N-fixing,700,Current,0.7333333333333333
THEOCA,N-fixing,800,RCP45,0.6333333333333333
THEOCA,N-fixing,800,RCP85,0.6
THEOCA,N-fixing,800,Current,0.7333333333333333
THEOCA,N-fixing,900,RCP45,0.6333333333333333
THEOCA,N-fixing,900,RCP85,0.6333333333333333
THEOCA,N-fixing,900,Current,0.7333333333333333
THEOCA,N-fixing,1000,RCP45,0.6666666666666666
THEOCA,N-fixing,1000,RCP85,0.6333333333333333
THEOCA,N-fixing,1000,Current,0.7666666666666667
THEOCA,N-fixing,1100,RCP45,0.6666666666666666
