acronym,system,never_suitable(0),remains_suitable(1),no_longer_suitable(-1),new_habitat(2),area_km2,remains_suitable_(1)_perc,no_longer_suitable(-1)_perc,new_habitat_(2)_per,net_change_perc,species,main_use,cover_inventory
ANNOMU,THEOCA_85,2140,19448,1201,1084,NA,94.18373771126932,5.816262288730689,5.2496488934088825,-0.5666133953218067,Annona muricata,Fruit,0.15859325
ANNOPU,COFFAR_45,4668,7983,1140,776,NA,87.5041104899704,12.495889510029595,8.50597391209032,-3.989915597939275,Annona purpurea,Fruit,0.059820261
ANNOPU,THEOCA_45,9495,10021,3586,771,NA,73.64591754244138,26.354082457558608,5.666201219960314,-20.687881237598294,Annona purpurea,Fruit,0.059820261
ANNOPU,COFFAR_85,4760,7314,1809,684,NA,80.17099638276882,19.829003617231177,7.497533706017758,-12.331469911213418,Annona purpurea,Fruit,0.059820261
ANNOPU,THEOCA_85,9353,8870,4737,913,NA,65.18703608436834,34.81296391563166,6.709781729991916,-28.103182185639746,Annona purpurea,Fruit,0.059820261
ANNORE,COFFAR_45,1893,10850,1411,413,NA,88.4919663975206,11.508033602479406,3.368403882228203,-8.139629720251204,Annona reticulata,Fruit,0.063993768
ANNORE,THEOCA_45,7862,13517,1892,602,NA,87.72146148354858,12.278538516451425,3.906807709779999,-8.371730806671426,Annona reticulata,Fruit,0.063993768
ANNORE,COFFAR_85,1893,9965,2296,413,NA,81.27395807846017,18.726041921539842,3.368403882228203,-15.357638039311638,Annona reticulata,Fruit,0.063993768
ANNORE,THEOCA_85,8020,12181,3228,444,NA,79.05120384191056,20.94879615808943,2.8814329288078393,-18.06736322928159,Annona reticulata,Fruit,0.063993768
ANNOSQ,COFFAR_45,3944,8042,1971,610,NA,80.31558973334666,19.68441026665335,6.0920802956157,-13.592329971037652,Annona squamosa,Fruit,0.059820261
ANNOSQ,THEOCA_45,6910,13503,1915,1545,NA,87.57945258788429,12.42054741211571,10.020754961733038,-2.3997924503826713,Annona squamosa,Fruit,0.059820261
ANNOSQ,COFFAR_85,3771,7946,2067,783,NA,79.35683611305303,20.64316388694697,7.819834215519824,-12.823329671427144,Annona squamosa,Fruit,0.059820261
ANNOSQ,THEOCA_85,6754,13395,2023,1701,NA,86.87897262939421,13.121027370605788,11.032559346218704,-2.0884680243870832,Annona squamosa,Fruit,0.059820261
ARTOAL,COFFAR_45,10067,3319,1045,136,NA,76.05407882676444,23.94592117323556,3.1164069660861595,-20.8295142071494,Artocarpus altilis,Fruit,0.01252052
ARTOAL,THEOCA_45,7058,12767,3956,92,NA,76.3439574239072,23.656042576092805,0.5501405250254141,-23.10590205106739,Artocarpus altilis,Fruit,0.01252052
ARTOAL,COFFAR_85,10086,3080,1284,117,NA,70.57745187901008,29.422548120989916,2.6810265811182403,-26.741521539871677,Artocarpus altilis,Fruit,0.01252052
ARTOAL,THEOCA_85,7076,12107,4616,74,NA,72.3972971356814,27.6027028643186,0.4425043353465287,-27.160198528972074,Artocarpus altilis,Fruit,0.01252052
ASTRGR,COFFAR_45,4062,8287,1898,320,NA,81.36475208640157,18.63524791359843,3.1418753068237604,-15.49337260677467,Astronium graveolens,Timber,0.182243121
ASTRGR,THEOCA_45,3985,17054,1374,1460,NA,92.54395485131322,7.456045148686781,7.92272628608639,0.46668113739960937,Astronium graveolens,Timber,0.182243121
ASTRGR,COFFAR_85,4055,7878,2307,327,NA,77.34904270986746,22.65095729013255,3.21060382916053,-19.44035346097202,Astronium graveolens,Timber,0.182243121
ASTRGR,THEOCA_85,3788,16811,1617,1657,NA,91.22530931191665,8.774690688083352,8.991751682222704,0.2170609941393522,Astronium graveolens,Timber,0.182243121
BACTGA,COFFAR_45,11787,1782,937,61,NA,65.53880102979036,34.46119897020964,2.2434718646561236,-32.217727105553514,Bactris gasipaes,Fruit,0.46325923
BACTGA,THEOCA_45,13552,7767,2454,100,NA,75.99060757264455,24.009392427355444,0.9783778495254868,-23.031014577829957,Bactris gasipaes,Fruit,0.46325923
BACTGA,COFFAR_85,11783,1756,963,65,NA,64.5825671202648,35.417432879735195,2.3905847738139023,-33.02684810592129,Bactris gasipaes,Fruit,0.46325923
BACTGA,THEOCA_85,13575,7626,2595,77,NA,74.61109480481362,25.38890519518638,0.7533509441346248,-24.635554251051754,Bactris gasipaes,Fruit,0.46325923
BROSAL,COFFAR_45,2876,10206,471,1014,NA,95.58864849676876,4.411351503231245,9.497049733071087,5.085698229839842,Brosimum alicastrum,Fruit,0.249019226
BROSAL,THEOCA_45,2496,20124,752,501,NA,96.39777735198314,3.6022226480168618,2.3998850354474035,-1.2023376125694583,Brosimum alicastrum,Fruit,0.249019226
BROSAL,COFFAR_85,2799,10118,559,1091,NA,94.76444694202492,5.235553057975087,10.21822609347195,4.9826730354968625,Brosimum alicastrum,Fruit,0.249019226
BROSAL,THEOCA_85,2397,19920,956,600,NA,95.42057865491473,4.579421345085265,2.87411381490707,-1.705307530178195,Brosimum alicastrum,Fruit,0.249019226
BURSSI,COFFAR_45,915,12547,736,369,NA,94.45908303847023,5.540916961529775,2.7779869005495743,-2.7629300609802008,Bursera simaruba,Timber,4.767535683
BURSSI,THEOCA_45,2212,20498,578,585,NA,97.25754412602011,2.7424558739798823,2.7756690074017842,0.03321313342190191,Bursera simaruba,Timber,4.767535683
BURSSI,COFFAR_85,934,12513,770,350,NA,94.20311676579087,5.796883234209139,2.6349469246405177,-3.1619363095686217,Bursera simaruba,Timber,4.767535683
BURSSI,THEOCA_85,1969,20567,509,828,NA,97.58493072689315,2.4150692731068513,3.9286392104763714,1.5135699373695202,Bursera simaruba,Timber,4.767535683
BYRSCR,COFFAR_45,1278,11502,780,1007,NA,93.64924279433316,6.350757205666829,8.198990392444227,1.8482331867773976,Byrsonima crassifolia,Fruit,2.09927381
BYRSCR,THEOCA_45,1120,21419,497,837,NA,97.73225041065888,2.2677495893411206,3.819127578025187,1.5513779886840666,Byrsonima crassifolia,Fruit,2.09927381
BYRSCR,COFFAR_85,1193,10849,1433,1092,NA,88.33251913369158,11.667480866308418,8.89106008793356,-2.776420778374858,Byrsonima crassifolia,Fruit,2.09927381
BYRSCR,THEOCA_85,1003,21165,751,954,NA,96.57327979558313,3.4267202044168643,4.352984121189999,0.9262639167731344,Byrsonima crassifolia,Fruit,2.09927381
CALOBR,COFFAR_45,845,12268,1275,179,NA,90.58554234659972,9.41445765340028,1.3217160156538434,-8.092741637746437,Calophyllum brasiliense,Timber,0.116858184
CALOBR,THEOCA_45,582,21627,1362,302,NA,94.07542737831137,5.924572621688633,1.3136717560572446,-4.610900865631389,Calophyllum brasiliense,Timber,0.116858184
CALOBR,COFFAR_85,849,11433,2110,175,NA,84.41999556966698,15.580004430333014,1.292180462231411,-14.287823968101604,Calophyllum brasiliense,Timber,0.116858184
CALOBR,THEOCA_85,606,20755,2234,278,NA,90.282308930358,9.717691069642003,1.2092740006089868,-8.508417069033015,Calophyllum brasiliense,Timber,0.116858184
CALYCA,COFFAR_45,6423,6680,1038,426,NA,86.55091992744234,13.449080072557656,5.519564654055455,-7.929515418502201,Calycophyllum candidissimum,Timber,0.108511171
CALYCA,THEOCA_45,11640,8939,2238,1056,NA,79.97673794399212,20.023262056007873,9.44797351704393,-10.575288538963942,Calycophyllum candidissimum,Timber,0.108511171
CALYCA,COFFAR_85,6482,6349,1369,367,NA,82.26224410469032,17.737755895309665,4.755117906193314,-12.98263798911635,Calycophyllum candidissimum,Timber,0.108511171
CALYCA,THEOCA_85,11809,8252,2925,887,NA,73.83018699114253,26.169813008857474,7.935939876532164,-18.23387313232531,Calycophyllum candidissimum,Timber,0.108511171
CARAGU,COFFAR_45,12411,1642,440,74,NA,78.86647454370798,21.133525456292027,3.554274735830932,-17.579250720461093,Carapa guianensis,Timber,0.069558443
CARAGU,THEOCA_45,15291,7003,1478,101,NA,82.57280981016389,17.427190189836104,1.1908972998467162,-16.236292889989386,Carapa guianensis,Timber,0.069558443
CARAGU,COFFAR_85,12430,1643,439,55,NA,78.91450528338136,21.085494716618637,2.6416906820365034,-18.443804034582133,Carapa guianensis,Timber,0.069558443
CARAGU,THEOCA_85,15309,6656,1825,83,NA,78.48131116613607,21.51868883386393,0.9786581771017568,-20.540030656762173,Carapa guianensis,Timber,0.069558443
CASSGR,COFFAR_45,5400,8157,739,271,NA,91.69289568345323,8.307104316546763,3.046312949640288,-5.260791366906474,Cassia grandis,Timber,0.392309619
CASSGR,THEOCA_45,1970,21059,352,492,NA,98.35598524123115,1.644014758768857,2.29788426509738,0.6538695063285229,Cassia grandis,Timber,0.392309619
CASSGR,COFFAR_85,5440,7764,1132,231,NA,87.2751798561151,12.724820143884893,2.5966726618705036,-10.12814748201439,Cassia grandis,Timber,0.392309619
CASSGR,THEOCA_85,1868,20929,482,594,NA,97.74882069964038,2.2511793003596283,2.7742749054224465,0.5230956050628182,Cassia grandis,Timber,0.392309619
CECROB,COFFAR_45,4426,8202,1871,68,NA,81.42559316986002,18.574406830139978,0.6750719745855257,-17.899334855554454,Cecropia obtusifolia,Timber,0.107120002
CECROB,THEOCA_45,6577,14888,2144,264,NA,87.4119304837952,12.588069516204792,1.550023485204321,-11.038046031000471,Cecropia obtusifolia,Timber,0.107120002
CECROB,COFFAR_85,4448,7655,2418,46,NA,75.99523478606174,24.00476521393825,0.45666633574903204,-23.54809887818922,Cecropia obtusifolia,Timber,0.107120002
CECROB,THEOCA_85,6603,14380,2652,238,NA,84.42930953499295,15.570690465007045,1.3973696571160168,-14.173320807891029,Cecropia obtusifolia,Timber,0.107120002
CECRPE,COFFAR_45,5614,7268,1527,158,NA,82.63786242183059,17.362137578169413,1.7964752700397952,-15.565662308129617,Cecropia peltata,Timber,0.20728416
CECRPE,THEOCA_45,979,21862,455,577,NA,97.96119550118743,2.0388044988125644,2.5854729578348343,0.5466684590222699,Cecropia peltata,Timber,0.20728416
CECRPE,COFFAR_85,5574,7017,1778,198,NA,79.78396816372938,20.21603183627061,2.2512791358726547,-17.964752700397955,Cecropia peltata,Timber,0.20728416
CECRPE,THEOCA_85,709,21903,414,847,NA,98.14491195053098,1.8550880494690145,3.7953129900972353,1.9402249406282208,Cecropia peltata,Timber,0.20728416
CEDROD,COFFAR_45,3057,9519,1956,35,NA,82.95424836601308,17.045751633986928,0.30501089324618735,-16.74074074074074,Cedrela odorata,Timber,3.973178264
CEDROD,THEOCA_45,1110,20756,1832,175,NA,91.88949884894633,8.110501151053656,0.774747653621392,-7.335753497432264,Cedrela odorata,Timber,3.973178264
CEDROD,COFFAR_85,3072,8827,2648,20,NA,76.92374727668845,23.076252723311548,0.17429193899782133,-22.901960784313726,Cedrela odorata,Timber,3.973178264
CEDROD,THEOCA_85,1151,20151,2437,134,NA,89.21108553214096,10.78891446785904,0.593235346201523,-10.195679121657518,Cedrela odorata,Timber,3.973178264
CEIBPE,COFFAR_45,5529,7677,492,869,NA,93.97723099522585,6.022769004774147,10.637776961684416,4.6150079569102695,Ceiba pentandra,Timber,0.125205197
CEIBPE,THEOCA_45,622,22082,224,945,NA,98.99578588720523,1.0042141127947637,4.236528288352909,3.2323141755581455,Ceiba pentandra,Timber,0.125205197
CEIBPE,COFFAR_85,5147,7599,570,1251,NA,93.02240176276166,6.9775982372383405,15.313991920675726,8.336393683437386,Ceiba pentandra,Timber,0.125205197
CEIBPE,THEOCA_85,480,22116,190,1087,NA,99.14821124361158,0.8517887563884157,4.873128306285304,4.021339549896888,Ceiba pentandra,Timber,0.125205197
CHRYCA,COFFAR_45,5381,7144,2012,30,NA,78.02533857579729,21.97466142420271,0.327653997378768,-21.647007426823944,Chrysophyllum cainito,Fruit,0.03617039
CHRYCA,THEOCA_45,1748,18179,3844,102,NA,82.54552059210825,17.45447940789175,0.46315215910638874,-16.99132724878536,Chrysophyllum cainito,Fruit,0.03617039
CHRYCA,COFFAR_85,5389,6534,2622,22,NA,71.36304062909568,28.636959370904325,0.2402795980777632,-28.396679772826563,Chrysophyllum cainito,Fruit,0.03617039
