acronym,system,never_suitable(0),remains_suitable(1),no_longer_suitable(-1),new_habitat(2),area_km2,remains_suitable_(1)_perc,no_longer_suitable(-1)_perc,new_habitat_(2)_per,net_change_perc,species,main_use,cover_inventory
CHRYCA,THEOCA_85,1717,17577,4446,133,NA,79.8120147118921,20.18798528810789,0.6039140898151932,-19.584071198292694,Chrysophyllum cainito,Fruit,0.03617039
CHRYME,COFFAR_45,6660,6360,1006,541,NA,86.34265544393158,13.657344556068423,7.344556068422483,-6.312788487645941,Chrysophyllum mexicanum,Fruit,0.075123118
CHRYME,THEOCA_45,7877,14531,1071,394,NA,93.13549544930137,6.864504550698629,2.5253172670170487,-4.33918728368158,Chrysophyllum mexicanum,Fruit,0.075123118
CHRYME,COFFAR_85,6649,5980,1386,552,NA,81.18381754004888,18.81618245995113,7.493890849850665,-11.322291610100464,Chrysophyllum mexicanum,Fruit,0.075123118
CHRYME,THEOCA_85,8012,14095,1507,259,NA,90.34098192539417,9.65901807460582,1.6600435841558774,-7.9989744904499425,Chrysophyllum mexicanum,Fruit,0.075123118
CHRYOL,COFFAR_45,8818,1965,3680,104,NA,34.80956598759965,65.19043401240036,1.842338352524358,-63.348095659876,Chrysophyllum oliviforme,Fruit,0.04869091
CHRYOL,THEOCA_45,12947,3967,6732,227,NA,37.07823161043088,62.921768389569124,2.1216936162258153,-60.80007477334331,Chrysophyllum oliviforme,Fruit,0.04869091
CHRYOL,COFFAR_85,8838,1676,3969,84,NA,29.68999114260407,70.31000885739593,1.4880425155004429,-68.82196634189549,Chrysophyllum oliviforme,Fruit,0.04869091
CHRYOL,THEOCA_85,12940,3245,7454,234,NA,30.329937377324985,69.670062622675,2.187120291616039,-67.48294233105896,Chrysophyllum oliviforme,Fruit,0.04869091
CITRAUR,COFFAR_45,322,13196,984,65,NA,93.06064880112835,6.93935119887165,0.4583921015514809,-6.480959097320169,Citrus aurantiifolia,Fruit,0.204501822
CITRAUR,THEOCA_45,480,21549,626,1218,NA,97.17700112739571,2.822998872604284,5.492671927846674,2.6696730552423897,Citrus aurantiifolia,Fruit,0.204501822
CITRAUR,COFFAR_85,279,12881,1299,108,NA,90.8392101551481,9.160789844851903,0.7616361071932299,-8.399153737658674,Citrus aurantiifolia,Fruit,0.204501822
CITRAUR,THEOCA_85,301,21491,684,1397,NA,96.91544532130779,3.084554678692221,6.29988726042841,3.2153325817361895,Citrus aurantiifolia,Fruit,0.204501822
CITRLI,COFFAR_45,1140,10501,2864,62,NA,78.57089412644969,21.42910587355032,0.46389824167601945,-20.9652076318743,Citrus limon,Fruit,0.230934031
CITRLI,THEOCA_45,2790,16245,2029,2809,NA,88.89679325818102,11.103206741818978,15.371566159570976,4.268359417751999,Citrus limon,Fruit,0.230934031
CITRLI,COFFAR_85,1110,9936,3429,92,NA,74.34343434343434,25.656565656565654,0.6883651328095773,-24.968200523756078,Citrus limon,Fruit,0.230934031
CITRLI,THEOCA_85,2237,16208,2066,3362,NA,88.694319798621,11.305680201379008,18.397723541643867,7.092043340264858,Citrus limon,Fruit,0.230934031
CITRRE,COFFAR_45,1332,11179,2054,2,NA,84.47819844328572,15.521801556714273,0.015113730824454016,-15.506687825889818,Citrus reticulata,Fruit,0.033388053
CITRRE,THEOCA_45,1281,20331,2240,21,NA,90.0757609321696,9.924239067830403,0.09303974126091002,-9.831199326569493,Citrus reticulata,Fruit,0.033388053
CITRRE,COFFAR_85,1330,10572,2661,4,NA,79.89118113806393,20.10881886193607,0.030227461648908032,-20.07859140028716,Citrus reticulata,Fruit,0.033388053
CITRRE,THEOCA_85,1290,18761,3810,12,NA,83.11993265694917,16.88006734305082,0.05316556643480573,-16.826901776616012,Citrus reticulata,Fruit,0.033388053
CITRSI,COFFAR_45,2462,9856,2208,41,NA,81.6976127320955,18.30238726790451,0.33985411140583555,-17.962533156498676,Citrus sinensis,Fruit,1.688878996
CITRSI,THEOCA_45,1646,20556,1036,635,NA,95.20192663949612,4.79807336050389,2.94090403853279,-1.8571693219711003,Citrus sinensis,Fruit,1.688878996
CITRSI,COFFAR_85,2476,8903,3161,27,NA,73.79807692307693,26.201923076923077,0.22380636604774537,-25.97811671087533,Citrus sinensis,Fruit,1.688878996
CITRSI,THEOCA_85,1590,20068,1524,691,NA,92.9418303075213,7.058169692478695,3.200259355316784,-3.8579103371619112,Citrus sinensis,Fruit,1.688878996
CORDAL,COFFAR_45,2052,11125,1214,176,NA,90.16127725099278,9.838722749007212,1.4263716670718858,-8.412351081935327,Cordia alliodora,Timber,11.63851868
CORDAL,THEOCA_45,1843,19900,1951,179,NA,91.07134684911445,8.928653150885543,0.8191844766829893,-8.109468674202553,Cordia alliodora,Timber,11.63851868
CORDAL,COFFAR_85,2047,10800,1539,181,NA,87.527352297593,12.472647702407002,1.4668935894318826,-11.005754112975119,Cordia alliodora,Timber,11.63851868
CORDAL,THEOCA_85,1869,19438,2413,153,NA,88.95702713834606,11.042972861653928,0.7001967873323875,-10.34277607432154,Cordia alliodora,Timber,11.63851868
DALBGL,COFFAR_45,3255,9437,1547,328,NA,85.91587764020393,14.084122359796067,2.986161689730517,-11.09796067006555,Dalbergia glomerata,Timber,0.264322083
DALBGL,THEOCA_45,4726,15747,3232,168,NA,82.97065177301228,17.02934822698772,0.8851888929869857,-16.144159334000737,Dalbergia glomerata,Timber,0.264322083
DALBGL,COFFAR_85,3301,8544,2440,282,NA,77.78587035688274,22.21412964311726,2.5673707210487984,-19.64675892206846,Dalbergia glomerata,Timber,0.264322083
DALBGL,THEOCA_85,4741,14735,4244,153,NA,77.63844248906686,22.361557510933135,0.806154170398862,-21.555403340534273,Dalbergia glomerata,Timber,0.264322083
DIPHAM,COFFAR_45,3695,8722,1931,219,NA,81.87365061485028,18.126349385149723,2.0557589411433397,-16.070590444006385,Diphysa americana,Timber,0.456303386
DIPHAM,THEOCA_45,3600,17717,1624,932,NA,91.6033297140789,8.3966702859211,4.818778760146839,-3.5778915257742616,Diphysa americana,Timber,0.456303386
DIPHAM,COFFAR_85,3720,8031,2622,194,NA,75.38721486905096,24.612785130949028,1.8210832629306297,-22.7917018680184,Diphysa americana,Timber,0.456303386
DIPHAM,THEOCA_85,3362,17359,1982,1170,NA,89.75233958947314,10.24766041052686,6.04932526756631,-4.19833514296055,Diphysa americana,Timber,0.456303386
ENTECY,COFFAR_45,4531,8173,882,981,NA,90.25952512424075,9.740474875759249,10.833793484262838,1.0933186085035889,Enterolobium cyclocarpum,Timber,2.085362121
ENTECY,THEOCA_45,4555,17104,819,1395,NA,95.43045249121242,4.569547508787592,7.783295207275567,3.2137476984879756,Enterolobium cyclocarpum,Timber,2.085362121
ENTECY,COFFAR_85,4355,8164,891,1157,NA,90.1601325234677,9.839867476532303,12.777471010491443,2.9376035339591393,Enterolobium cyclocarpum,Timber,2.085362121
ENTECY,THEOCA_85,4076,17142,781,1874,NA,95.64247056854322,4.357529431456787,10.455838866261228,6.098309434804441,Enterolobium cyclocarpum,Timber,2.085362121
ERYTBE,COFFAR_45,5178,6854,2511,24,NA,73.18739989321944,26.812600106780565,0.2562733582487987,-26.556326748531767,Erythrina berteroana,N-fixing,0.492473776
ERYTBE,THEOCA_45,5114,16207,1336,1216,NA,92.38442683691501,7.615573163084992,6.931539645442626,-0.6840335176423658,Erythrina berteroana,N-fixing,0.492473776
ERYTBE,COFFAR_85,5181,6221,3144,21,NA,66.42819006940736,33.571809930592636,0.22423918846769886,-33.34757074212494,Erythrina berteroana,N-fixing,0.492473776
ERYTBE,THEOCA_85,4834,15861,1682,1496,NA,90.41213019437953,9.587869805620475,8.52761785327481,-1.0602519523456646,Erythrina berteroana,N-fixing,0.492473776
ERYTCO,COFFAR_45,11271,2204,1089,3,NA,66.92985119951412,33.070148800485875,0.09110233829334953,-32.97904646219253,Erythrina costaricensis,N-fixing,2.776773045
